"";"data";"hora";"natureza_acidente";"situacao";"bairro";"endereco";"numero";"detalhe_endereco_acidente";"complemento";"bairro_cruzamento";"num_semaforo";"sentido_via";"tipo";"descricao";"auto";"moto";"ciclom";"ciclista";"pedestre";"onibus";"caminhao";"viatura";"outros";"vitimas";"vitimasfatais";"acidente_verificado";"tempo_clima";"situacao_semaforo";"sinalizacao";"condicao_via";"conservacao_via";"ponto_controle";"situacao_placa";"velocidade_max_via";"mao_direcao";"divisao_via1";"divisao_via2";"divisao_via3"
"1";2020-01-01;"00:39:00";"SEM VÍTIMA";"CANCELADA";"ÁGUA FRIA";"RUA SAO SEBASTIAO";"1687";"";"EM FRENTE A IGREJA UNIVERSAL";"ÁGUA FRIA";NA;"";"COLISÃO";"COLISÃO ENTRE DOIS AUTOS S/V";2;0;0;0;0;0;0;0;0;0;0;"";"";"";"";"";"";"";"";"";"";"";"";""
"2";2020-01-01;"01:04:00";"SEM VÍTIMA";"FINALIZADA";"CORDEIRO";"AV CAXANGA";"1444";"AV GENERAL SAN MARTIN";"";"CORDEIRO";80;"SUBURBIO";"ABALROAMENTO LONGITUDINAL";"COLISÃO ENTRE DOIS AUTOS S/V";2;0;0;0;0;0;0;0;0;0;0;"Cruzamento";"Bom";"Sem defeito";"Perfeito estado";"Seca";"Perfeito estado";"Faixa de pedestre";"";"60 km/h";"Dupla";"Canteiro central";"";""
"3";2020-01-01;"02:16:00";"SEM VÍTIMA";"FINALIZADA";"AREIAS";"AV RECIFE";"";"";"LADO OPOSTO AO RESIDENCIAL IGNEZ ANDREAZZA";"AREIAS";494;"SUBURBIO";"CHOQUE VEÍCULO PARADO";"COLISÃO ENTRE DOIS AUTOS S/V";2;0;0;0;0;0;0;0;0;0;0;"Longo da via";"Bom";"Sem defeito";"Perfeito estado";"Seca";"Perfeito estado";"Faixa de pedestre";"Não há placas";"";"Dupla";"Canteiro central";"";""
"4";2020-01-01;"02:22:00";"SEM VÍTIMA";"FINALIZADA";"BOA VIAGEM";"AV BOA VIAGEM";"";"";"EM FRENTE AO 1º JARDIM B. VIAGEM";"BOA VIAGEM";NA;"CIDADE";"COLISÃO TRASEIRA";"COLISÃO ENTRE DOIS AUTOS S/V";2;0;0;0;0;0;0;0;0;0;0;"Longo da via";"Bom";"Sem defeito";"Perfeito estado";"Seca";"Perfeito estado";"Faixa de pedestre";"R-6a";"";"Única";"Faixa seccionada";"";""
"5";2020-01-01;"03:33:00";"SEM VÍTIMA";"FINALIZADA";"PAISSANDU";"AV GOVERNADOR AGAMENON MAGALHAES";"";"";"CAIXA ECONÔMICA FEDERAL ILHA DO LEITE";"PAISSANDU";672;"SUBURBIO";"ABALROAMENTO TRANSVERSAL";"COLISÃOENTRE DOIS AUTOS S/V";2;0;0;0;0;0;0;0;0;0;0;"Cruzamento";"Bom";"Sem defeito";"Perfeito estado";"Seca";"Perfeito estado";"Faixa de pedestre";"Não há placas";"";"Única";"Faixa contínua";"Faixa seccionada";"Canteiro central"
"6";2020-01-01;"04:18:00";"SEM VÍTIMA";"FINALIZADA";"BARRO";"AV DR JOSE RUFINO";"";"";"";"BARRO";NA;"SUBURBIO";"COLISÃO TRASEIRA";"COLISÃO ENTRE DOIS AUTOS S/V";2;0;0;0;0;0;0;0;0;0;0;"Longo da via";"Bom";"Não existe";"Ilegível";"Seca";"Mal conservada";"Não existe";"Não há placas";"";"Dupla";"Faixa seccionada";"";""
"7";2020-01-01;"04:47:00";"SEM VÍTIMA";"FINALIZADA";"PINA";"AV CONSELHEIRO AGUIAR";"";"AV HERCULANO BANDEIRA";"";"PINA";138;"";"CHOQUE OBJETO FIXO";"AUTO CHOCOU-SE EM MURO DE UMA RESIDENCIA E EM UM POSTE S/V";1;0;0;0;0;0;0;0;0;0;0;"Cruzamento";"Bom";"Sem defeito";"Perfeito estado";"Seca";"Perfeito estado";"Faixa de pedestre";"R-6a";"";"Única";"Faixa seccionada";"";""
"8";2020-01-01;"09:06:00";"COM VÍTIMA";"FINALIZADA";"PINA";"AVENIDA CELSO FURTADO (VIA MANGUE)";"";"";"PROX: SHOPPING RIO MAR . ULTIMA CURVA ANTES DO SHPPING RIO MAR";"PINA";NA;"BOA VIAGEM";"CHOQUE OBJETO FIXO";"COLISAO COM DUAS VITIMA. MOTO COM GLADIO  DA VIA";0;1;0;0;0;0;0;0;0;2;0;"Longo da via";"Bom";"Não existe";"Perfeito estado";"Seca";"Perfeito estado";"";"Não há placas";"60 km/h";"Dupla";"Faixa seccionada";"";""
"9";2020-01-01;"10:07:00";"COM VÍTIMA";"FINALIZADA";"MADALENA";"EST DOS REMEDIOS";"2328";"";"LADO OPOSTO AO LESSA DE ANDRADE";"MADALENA";NA;"SUBURBIO";"CHOQUE OBJETO FIXO";"PEGEOUT SE CHOCOU COM POSTE E COM O GRADIL DA LOJA DE VEÍCULOS PROVOCANDO AVARIAS EM UM VEÍCULO";1;0;0;0;0;0;0;0;0;1;0;"Longo da via";"Bom";"Sem defeito";"Perfeito estado";"Seca";"Perfeito estado";"Faixa de pedestre";"Placas Pare";"";"Única";"Faixa seccionada";"";""
"10";2020-01-01;"12:09:00";"SEM VÍTIMA";"FINALIZADA";"NOVA DESCOBERTA";"RUA NOVA DESCOBERTA";"1335";"";"";"NOVA DESCOBERTA";NA;"CIDADE";"CHOQUE VEÍCULO PARADO";"COLISÃO SEM VÍTIMA";1;0;0;0;0;0;1;0;0;0;0;"Longo da via";"Bom";"Não existe";"Perfeito estado";"Seca";"Perfeito estado";"Não existe";"Não há placas";"";"Dupla";"Faixa seccionada";"";""
